nom,prix,adresse,image_lien
Mouton,220000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3177877_uploaded_image1_1623952035.jpg
Mouton,200000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_3177020_uploaded_image1_1623924837.jpg
Mouton,350000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_3177016_uploaded_image1_1623924734.jpg
Mouton femelle,250000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3174378_uploaded_image1_1623791219.jpg
Mouton,200000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3173505_uploaded_image1_1623763219.jpg
Mouton,135000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3173381_uploaded_image1_1623760565.jpg
Mouton,175000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3173344_uploaded_image1_1623759565.jpg
Mouton Talabir,180000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3172256_uploaded_image1_1623705348.jpg
Mouton Ladoum,2500000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3171633_uploaded_image1_1623682830.jpg
Mouton de tabaski,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3169999_uploaded_image3_1623598465.jpeg
Béliers,1000000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3168358_uploaded_image1_1623500455.jpg
Mouton,350000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3165517_uploaded_image1_1623360217.jpg
Femelle azawatte pur sang - agneau ladoum,300.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3646261_uploaded_image1_1649515763.jpg
Mouton Kharr Yarr,58000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3644252_uploaded_image1_1649404728.jpg
Mouton,70000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3639060_uploaded_image1_1649160271.jpg
Femelle Ladoum,700000.0,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3612042_uploaded_image1_1647482923.jpg
Mouton Ladoum,500000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3609797_uploaded_image2_1647356086.jpeg
Moutons,110000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3607678_uploaded_image1_1647257947.jpg
Mouton Ladoum,250.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3603572_uploaded_image1_1646966277.jpg
Mouton mâle,850000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3596103_uploaded_image1_1646571552.jpg
Mouton Ladoum,600000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3587538_uploaded_image1_1646138700.jpg
Mouton femelle Ladoum,600000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3571469_uploaded_image1_1645100060.jpg
Mouton femelle Ladoum,300000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3566393_uploaded_image1_1644779014.jpg
Moutons,400000.0,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3552558_uploaded_image1_1643898213.jpg
Femmelle métisse Ladoum,100000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3543145_uploaded_image1_1643391739.jpg
Géniteur Ladoum,500000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3543142_uploaded_image1_1643391619.jpg
Mouton Géniteur Ladoum,500000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3543117_uploaded_image1_1643390803.jpg
Mouton ladoum,600000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3527221_uploaded_image1_1642363323.jpg
Femelle Ladoum,300000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3526953_uploaded_image1_1642347009.jpg
Moutons,400000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3525532_uploaded_image1_1642243253.jpg
Moutons,150000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3515632_uploaded_image1_1641663090.jpg
Mouton Azawate pur sang,500000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3503706_uploaded_image1_1640971116.jpg
Moutons,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3496815_uploaded_image1_1640366315.jpg
Mouton Azawate,350000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3486760_uploaded_image1_1639660650.jpg
Moutons,300.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3456566_uploaded_image1_1638016401.jpg
Moutons,50000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3456563_uploaded_image1_1638016216.jpg
Mouton,250.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3454257_uploaded_image1_1637855765.jpg
Mouton Ladoum,350.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3454225_uploaded_image1_1637855052.jpg
Mouton,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3446605_uploaded_image1_1637399721.jpg
Couple Ladoum,1700000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3445236_uploaded_image1_1637317352.jpg
Mouton femelle Ladoum,150000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3429271_uploaded_image1_1636462297.jpg
Mouton Ladoum,250000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3429263_uploaded_image1_1636462077.jpg
Couple mouton Ladoum,1300000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3422330_uploaded_image1_1636107210.jpg
Mouton ladoum,700000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3414402_uploaded_image1_1635783882.jpg
Mouton mâle ladoum,1200000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3409172_uploaded_image1_1635466267.jpg
Mouton Ladoum,900000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3384593_uploaded_image1_1634153699.jpg
Mouton ladoum,550000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3378597_uploaded_image1_1633868418.jpg
Ladoum,225000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3360594_uploaded_image1_1633043657.jpg
Moutons,350000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3340347_uploaded_image1_1631912774.jpg
Mouton femelle Ladoum,350000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3332059_uploaded_image1_1631529827.jpg
Femelle ladoum,750.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316286_uploaded_image1_1630764718.jpg
Mouton Ladoum,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3307175_uploaded_image1_1630433795.jpg
Mouton,350000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3301458_uploaded_image1_1630085911.jpg
Mouton,450000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3294990_uploaded_image1_1629756753.jpg
Mouton Ladoum,350000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3290373_uploaded_image1_1629478576.jpg
Mouton ladoum,500.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3279053_uploaded_image1_1628891604.jpg
Mouton,850000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3277445_uploaded_image1_1628816527.jpg
Mouton,800000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3277039_uploaded_image1_1628794541.jpg
Mouton Ladoum,700000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3273519_uploaded_image1_1628622023.jpg
Mouton Ladoum,400000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3265343_uploaded_image1_1628217266.jpg
Mouton Ladoum,800000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3264122_uploaded_image1_1628168990.jpg
Mouton Ladoum,800000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3263932_uploaded_image1_1628163711.jpg
Mouton Ladoum,1200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3262861_uploaded_image1_1628108388.jpg
Mouton,350000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3256366_uploaded_image1_1627888936.jpg
Mouton Ladoum,800.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3256042_uploaded_image1_1627857961.jpg
Mouton,130000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3236341_uploaded_image1_1626696217.jpg
Mouton,280000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3235838_uploaded_image1_1626653479.jpg
Mouton,160000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3235834_uploaded_image1_1626653333.jpg
Mouton,180000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3235588_uploaded_image1_1626638191.jpg
Mouton,250000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3235086_uploaded_image1_1626609562.jpg
Mouton,400000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3234604_uploaded_image1_1626553559.jpg
Mouton,3500000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3754057_uploaded_image1_1655926556.jpg
Mouton,300000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3752760_uploaded_image1_1655859669.jpg
Mouton,220000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3752267_uploaded_image1_1655828753.jpg
Mouton,95000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3751345_uploaded_image1_1655773668.jpg
Mouton,120000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3750310_uploaded_image3_1655725970.jpeg
Mouton,250000.0,"Guédiawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3749119_uploaded_image1_1655641651.jpg
Mouton,270000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3748949_uploaded_image1_1655629143.jpg
Mouton,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3748117_uploaded_image1_1655559635.jpg
