nom,prix,adresse,image_lien
Chiot Bichon,100000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4595120_uploaded_image1_1708002349.jpg
Bichon maltais femelle,130000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4583262_uploaded_image1_1707324718.jpg
Chien Boerboel,250.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4580660_uploaded_image1_1707214130.jpg
Chiot Berger Allemand,150000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4578293_uploaded_image1_1707081785.jpg
Chiot Rottweiler,250000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4578118_uploaded_image1_1707073637.jpg
Chiots Berger Allemand,175000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4578066_uploaded_image1_1707070773.jpg
Chiens Malinois charbonner,250000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4560526_uploaded_image1_1706096544.jpg
Chiots mâle,195000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4556192_uploaded_image1_1705853341.jpg
Chiot Malinois,350000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4549443_uploaded_image1_1705486947.jpg
Chiot femelle Malinois et Red Nose,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4548513_uploaded_image1_1705430390.jpg
Rottweiler femelle 2 mois,275000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4543266_uploaded_image1_1705144667.jpg
Chiot Rott,300000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4532830_uploaded_image1_1704659788.jpg
Chiot Berger Malinois,250000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4532826_uploaded_image1_1704659683.jpg
Chiot Berger Allemand,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4532817_uploaded_image1_1704659367.jpg
Chiot Berger allemand,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4532063_uploaded_image1_1704626532.jpg
Chiots Bergers Allemands,125000.0,"Saly, Sénégal",https://images.coinafrique.com/thumb_4530727_uploaded_image1_1704546741.jpg
Chiot Berger Allemand,700000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4513587_uploaded_image1_1703525523.jpg
Chiotte Berger Allemand,230000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4513582_uploaded_image1_1703525135.jpg
Chiens  Malinois charbonnés,700000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4513573_uploaded_image1_1703524791.jpg
Chiot Boerbool,550000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4513571_uploaded_image1_1703524590.jpg
Bichon Maltais,120000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497142_uploaded_image1_1702422599.jpg
Bichon Maltais,150000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4497133_uploaded_image1_1702422179.jpg
