web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1766752708-106","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","125 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4220216_uploaded_image1_1684354056.jpg"
"1766752708-107","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pitbulls","190 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4219520_uploaded_image2_1684323670.jpeg"
"1766752708-108","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Pitbull","130 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_4219240_uploaded_image1_1684312262.jpg"
"1766752708-109","https://sn.coinafrique.com/categorie/chiens?page=5","Chien","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4216138_uploaded_image1_1684103109.jpg"
"1766752708-110","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots berger allemand","175 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4209184_uploaded_image1_1683653649.jpg"
"1766752708-111","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Belge","250 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206429_uploaded_image1_1683473426.jpg"
"1766752708-112","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","150 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206427_uploaded_image1_1683473206.jpg"
"1766752708-113","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Caniches","150 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4206419_uploaded_image1_1683473050.jpg"
"1766752708-114","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Allemand","600 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4204043_uploaded_image1_1683299075.jpg"
"1766752708-115","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens Berger Allemand","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4203333_uploaded_image1_1683276634.jpg"
"1766752708-116","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4203328_uploaded_image1_1683276531.jpg"
"1766752708-117","https://sn.coinafrique.com/categorie/chiens?page=5","Chien","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4198141_uploaded_image1_1683020218.jpg"
"1766752708-118","https://sn.coinafrique.com/categorie/chiens?page=5","Chienne malinois","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4192516_uploaded_image1_1682602073.jpg"
"1766752708-119","https://sn.coinafrique.com/categorie/chiens?page=5","Chienne malinoise","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4191047_uploaded_image1_1682510654.jpg"
"1766752708-120","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens","150 000CFA","Lac rose, Sénégal","https://images.coinafrique.com/thumb_4190505_uploaded_image1_1682468019.jpg"
"1766752708-121","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot berger malinois","130 000CFA","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4189681_uploaded_image1_1682428415.jpg"
"1766752708-122","https://sn.coinafrique.com/categorie/chiens?page=5","Chien Malinois","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4186380_uploaded_image1_1682164639.jpg"
"1766752708-123","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens Labrador","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_4186378_uploaded_image2_1682164251.jpeg"
"1766752708-124","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Malinois","200 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4186165_uploaded_image1_1682151351.jpg"
"1766752708-125","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot pitbull","100 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4180447_uploaded_image1_1681745968.jpg"
"1766752708-126","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon Maltais","100 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4178317_uploaded_image1_1681583921.jpg"
"1766752708-127","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots bergers allemands","200 000CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_4176841_uploaded_image1_1681482623.jpg"
"1766752708-128","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot","150 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4174428_uploaded_image1_1681336910.jpg"
"1766752708-129","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens berger allemand","200 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4172538_uploaded_image1_1681227060.jpg"
"1766752708-130","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Berger allemand","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4171222_uploaded_image1_1681149812.jpg"
"1766752708-131","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Caniche","300 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_4169389_uploaded_image1_1681006575.jpg"
"1766752708-132","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots labrador","400 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_4167214_uploaded_image1_1680870219.jpg"
"1766752708-133","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon","150CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4165184_uploaded_image1_1680766831.jpg"
"1766752708-134","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Malinois","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4162884_uploaded_image1_1680632930.jpg"
